Region	Enabled	DataFlag	Start	End	Step	Sweeps	Dwell	Mode	CAE/CRR	Mag	Divide by Ten	Notes	Function	Line-Style	Point-Style	Sweeps-Acquired
1	true	Original	520.000	550.000	0.100	3	0.200	CAE	20.00	High	false	O1s-Sb3d	7 Channel Acquisition			3
Layer	Enabled	DataFlag	Notes	Formula	Line-Style	Point-Style
1	True		Ch(1)+Ch(2)+Ch(3)+Ch(4)+Ch(5)+Ch(6)+Ch(7)		
Energy	Counts
520.000	10981
520.100	10889
520.200	11000
520.300	10936
520.400	11100
520.500	10889
520.600	10981
520.700	10854
520.800	10967
520.900	11038
521.000	10888
521.100	11051
521.200	11243
521.300	11044
521.400	11205
521.500	11060
521.600	11193
521.700	11080
521.800	11134
521.900	11066
522.000	11104
522.100	11187
522.200	11152
522.300	11184
522.400	11343
522.500	11194
522.600	11231
522.700	11144
522.800	11275
522.900	11284
523.000	11321
523.100	11307
523.200	11265
523.300	11262
523.400	11132
523.500	11190
523.600	11241
523.700	11016
523.800	11204
523.900	11347
524.000	11237
524.100	11175
524.200	11088
524.300	11235
524.400	11119
524.500	11250
524.600	11128
524.700	11083
524.800	11143
524.900	11196
525.000	11295
525.100	11316
525.200	11203
525.300	11021
525.400	11080
525.500	11189
525.600	11114
525.700	11022
525.800	10930
525.900	11220
526.000	10973
526.100	10962
526.200	11132
526.300	10953
526.400	10855
526.500	11096
526.600	10929
526.700	11122
526.800	11157
526.900	11075
527.000	10950
527.100	10994
527.200	11036
527.300	10995
527.400	11018
527.500	11151
527.600	11134
527.700	11059
527.800	11192
527.900	11117
528.000	11168
528.100	10958
528.200	11137
528.300	10987
528.400	10965
528.500	11063
528.600	10980
528.700	10908
528.800	11134
528.900	10981
529.000	11139
529.100	11010
529.200	11084
529.300	11153
529.400	11066
529.500	11148
529.600	11227
529.700	10958
529.800	11022
529.900	11015
530.000	11206
530.100	11297
530.200	11046
530.300	11222
530.400	11368
530.500	11330
530.600	11365
530.700	11323
530.800	11471
530.900	11798
531.000	11949
531.100	12365
531.200	12385
531.300	12425
531.400	12529
531.500	12825
531.600	12880
531.700	13194
531.800	13086
531.900	13211
532.000	13018
532.100	13033
532.200	13191
532.300	13406
532.400	13467
532.500	13579
532.600	13656
532.700	13704
532.800	13612
532.900	13690
533.000	13624
533.100	13449
533.200	13256
533.300	13033
533.400	12704
533.500	12699
533.600	12648
533.700	12379
533.800	11940
533.900	11986
534.000	11882
534.100	11822
534.200	11628
534.300	11470
534.400	11586
534.500	11395
534.600	11320
534.700	11366
534.800	11113
534.900	11142
535.000	11335
535.100	11155
535.200	11319
535.300	11289
535.400	11099
535.500	11258
535.600	11282
535.700	11459
535.800	11134
535.900	11218
536.000	11152
536.100	11204
536.200	11121
536.300	11257
536.400	11312
536.500	11299
536.600	11308
536.700	11375
536.800	11270
536.900	11248
537.000	11343
537.100	11286
537.200	11329
537.300	11289
537.400	11285
537.500	11261
537.600	11033
537.700	11169
537.800	11088
537.900	11400
538.000	11171
538.100	11294
538.200	11392
538.300	11318
538.400	11160
538.500	11143
538.600	11035
538.700	11063
538.800	11302
538.900	11220
539.000	11220
539.100	11370
539.200	11251
539.300	11199
539.400	11063
539.500	11066
539.600	11222
539.700	11277
539.800	11225
539.900	11382
540.000	11307
540.100	11217
540.200	11220
540.300	11174
540.400	11170
540.500	11141
540.600	11304
540.700	11209
540.800	11262
540.900	11493
541.000	11280
541.100	11187
541.200	11375
541.300	11256
541.400	11225
541.500	11252
541.600	11141
541.700	10975
541.800	11237
541.900	11061
542.000	11226
542.100	11114
542.200	11265
542.300	11250
542.400	11225
542.500	11116
542.600	11064
542.700	11122
542.800	11359
542.900	11375
543.000	11280
543.100	11382
543.200	11213
543.300	11239
543.400	11275
543.500	11450
543.600	11420
543.700	11231
543.800	11338
543.900	11283
544.000	11379
544.100	11284
544.200	11298
544.300	11431
544.400	11136
544.500	11197
544.600	11212
544.700	11344
544.800	11386
544.900	11254
545.000	11323
545.100	11249
545.200	11226
545.300	11397
545.400	11404
545.500	11438
545.600	11300
545.700	11422
545.800	11452
545.900	11423
546.000	11432
546.100	11247
546.200	11310
546.300	11491
546.400	11411
546.500	11217
546.600	11286
546.700	11513
546.800	11224
546.900	11290
547.000	11394
547.100	11491
547.200	11328
547.300	11492
547.400	11423
547.500	11376
547.600	11342
547.700	11310
547.800	11133
547.900	11329
548.000	11274
548.100	11344
548.200	11526
548.300	11377
548.400	11313
548.500	11553
548.600	11450
548.700	11371
548.800	11286
548.900	11405
549.000	11379
549.100	11294
549.200	11324
549.300	11474
549.400	11451
549.500	11394
549.600	11294
549.700	11355
549.800	11255
549.900	11208
550.000	11366
Region	Enabled	DataFlag	Start	End	Step	Sweeps	Dwell	Mode	CAE/CRR	Mag	Divide by Ten	Notes	Function	Line-Style	Point-Style	Sweeps-Acquired
2	true	Original	280.000	300.000	0.100	3	0.200	CAE	20.00	High	false	C1s	7 Channel Acquisition			3
Layer	Enabled	DataFlag	Notes	Formula	Line-Style	Point-Style
1	True		Ch(1)+Ch(2)+Ch(3)+Ch(4)+Ch(5)+Ch(6)+Ch(7)		
Energy	Counts
280.000	6828
280.100	7023
280.200	7051
280.300	6848
280.400	6852
280.500	6911
280.600	6964
280.700	7043
280.800	6983
280.900	6791
281.000	6777
281.100	6884
281.200	6932
281.300	6987
281.400	6970
281.500	6842
281.600	6853
281.700	6929
281.800	6849
281.900	6835
282.000	6846
282.100	6975
282.200	6984
282.300	7057
282.400	7168
282.500	7056
282.600	7287
282.700	7365
282.800	7154
282.900	7289
283.000	7353
283.100	7504
283.200	7574
283.300	7774
283.400	7920
283.500	8086
283.600	8499
283.700	8854
283.800	9136
283.900	10016
284.000	10871
284.100	12056
284.200	13505
284.300	14824
284.400	16669
284.500	18664
284.600	20428
284.700	22327
284.800	23807
284.900	24596
285.000	25043
285.100	24898
285.200	24184
285.300	23167
285.400	21443
285.500	19933
285.600	18527
285.700	16942
285.800	15596
285.900	14421
286.000	13309
286.100	12658
286.200	11852
286.300	11187
286.400	10743
286.500	10257
286.600	9785
286.700	9342
286.800	9229
286.900	8941
287.000	8585
287.100	8686
287.200	8627
287.300	8375
287.400	8311
287.500	8301
287.600	8243
287.700	8243
287.800	8371
287.900	8433
288.000	8368
288.100	8110
288.200	8365
288.300	8386
288.400	8282
288.500	8326
288.600	8243
288.700	8140
288.800	8303
288.900	8232
289.000	8208
289.100	8363
289.200	8223
289.300	8193
289.400	8120
289.500	8027
289.600	8019
289.700	7832
289.800	7937
289.900	7869
290.000	8097
290.100	7949
290.200	7912
290.300	7983
290.400	7877
290.500	7870
290.600	7929
290.700	7911
290.800	7827
290.900	7933
291.000	8048
291.100	7735
291.200	7784
291.300	7796
291.400	7785
291.500	7786
291.600	7682
291.700	7579
291.800	7739
291.900	7714
292.000	7766
292.100	7795
292.200	7709
292.300	7742
292.400	7848
292.500	7775
292.600	7693
292.700	7894
292.800	7706
292.900	7788
293.000	7688
293.100	7545
293.200	7813
293.300	7720
293.400	7602
293.500	7577
293.600	7864
293.700	7761
293.800	7765
293.900	7878
294.000	7828
294.100	7793
294.200	7787
294.300	7717
294.400	7768
294.500	7781
294.600	7866
294.700	7908
294.800	7807
294.900	7868
295.000	7771
295.100	7937
295.200	7858
295.300	7968
295.400	7907
295.500	7971
295.600	7974
295.700	7926
295.800	7977
295.900	7847
296.000	7837
296.100	7897
296.200	8048
296.300	7973
296.400	7999
296.500	8037
296.600	8011
296.700	8117
296.800	8077
296.900	7999
297.000	8167
297.100	8139
297.200	8111
297.300	8119
297.400	8098
297.500	8178
297.600	8071
297.700	8035
297.800	8085
297.900	8242
298.000	8161
298.100	8255
298.200	8157
298.300	8140
298.400	8160
298.500	8128
298.600	8296
298.700	8322
298.800	8177
298.900	8209
299.000	8328
299.100	8359
299.200	8354
299.300	8321
299.400	8303
299.500	8462
299.600	8487
299.700	8456
299.800	8301
299.900	8462
300.000	8469
Region	Enabled	DataFlag	Start	End	Step	Sweeps	Dwell	Mode	CAE/CRR	Mag	Divide by Ten	Notes	Function	Line-Style	Point-Style	Sweeps-Acquired
3	true	Original	160.000	180.000	0.100	10	0.200	CAE	20.00	High	false	S2p	7 Channel Acquisition			10
Layer	Enabled	DataFlag	Notes	Formula	Line-Style	Point-Style
1	True		Ch(1)+Ch(2)+Ch(3)+Ch(4)+Ch(5)+Ch(6)+Ch(7)		
Energy	Counts
160.000	11435
160.100	11556
160.200	11575
