eV	counts
280	6828
280.1	7023
280.2	7051
280.3	6848
280.4	6852
280.5	6911
280.6	6964
280.7	7043
280.8	6983
280.9	6791
281	6777
281.1	6884
281.2	6932
281.3	6987
281.4	6970
281.5	6842
281.6	6853
281.7	6929
281.8	6849
281.9	6835
282	6846
282.1	6975
282.2	6984
282.3	7057
282.4	7168
282.5	7056
282.6	7287
282.7	7365
282.8	7154
282.9	7289
283	7353
283.1	7504
283.2	7574
283.3	7774
283.4	7920
283.5	8086
283.6	8499
283.7	8854
283.8	9136
283.9	10016
284	10871
284.1	12056
284.2	13505
284.3	14824
284.4	16669
284.5	18664
284.6	20428
284.7	22327
284.8	23807
284.9	24596
285	25043
285.1	24898
285.2	24184
285.3	23167
285.4	21443
285.5	19933
285.6	18527
285.7	16942
285.8	15596
285.9	14421
286	13309
286.1	12658
286.2	11852
286.3	11187
286.4	10743
286.5	10257
286.6	9785
286.7	9342
286.8	9229
286.9	8941
287	8585
287.1	8686
287.2	8627
287.3	8375
287.4	8311
287.5	8301
287.6	8243
287.7	8243
287.8	8371
287.9	8433
288	8368
288.1	8110
288.2	8365
288.3	8386
288.4	8282
288.5	8326
288.6	8243
288.7	8140
288.8	8303
288.9	8232
289	8208
289.1	8363
289.2	8223
289.3	8193
289.4	8120
289.5	8027
289.6	8019
289.7	7832
289.8	7937
289.9	7869
290	8097
290.1	7949
290.2	7912
290.3	7983
290.4	7877
290.5	7870
290.6	7929
290.7	7911
290.8	7827
290.9	7933
291	8048
291.1	7735
291.2	7784
291.3	7796
291.4	7785
291.5	7786
291.6	7682
291.7	7579
291.8	7739
291.9	7714
292	7766
292.1	7795
292.2	7709
292.3	7742
292.4	7848
292.5	7775
292.6	7693
292.7	7894
292.8	7706
292.9	7788
293	7688
293.1	7545
293.2	7813
293.3	7720
293.4	7602
293.5	7577
293.6	7864
293.7	7761
293.8	7765
293.9	7878
294	7828
294.1	7793
294.2	7787
294.3	7717
294.4	7768
294.5	7781
294.6	7866
294.7	7908
294.8	7807
294.9	7868
295	7771
295.1	7937
295.2	7858
295.3	7968
295.4	7907
295.5	7971
295.6	7974
295.7	7926
295.8	7977
295.9	7847
296	7837
296.1	7897
296.2	8048
296.3	7973
296.4	7999
296.5	8037
296.6	8011
296.7	8117
296.8	8077
296.9	7999
297	8167
297.1	8139
297.2	8111
297.3	8119
297.4	8098
297.5	8178
297.6	8071
297.7	8035
297.8	8085
297.9	8242
298	8161
298.1	8255
298.2	8157
298.3	8140
298.4	8160
298.5	8128
298.6	8296
298.7	8322
298.8	8177
298.9	8209
299	8328
299.1	8359
299.2	8354
299.3	8321
299.4	8303
299.5	8462
299.6	8487
299.7	8456
299.8	8301
299.9	8462
300	8469
